AH 88-K-130/20
    1.000000       0.000000    
   0.9989300      0.5000000E-03
   0.9957200      0.1660000E-02
   0.9903900      0.3240000E-02
   0.9829600      0.5230000E-02
   0.9734700      0.7660000E-02
   0.9619400      0.1054000E-01
   0.9484400      0.1390000E-01
   0.9330100      0.1777000E-01
   0.9157300      0.2216000E-01
   0.8966800      0.2720000E-01
   0.8759200      0.3263000E-01
   0.8535500      0.3865000E-01
   0.8296700      0.4524000E-01
   0.8043800      0.5229000E-01
   0.7777900      0.5983000E-01
   0.7500000      0.6761000E-01
   0.7211400      0.7531000E-01
   0.6913400      0.8191000E-01
   0.6607200      0.8742000E-01
   0.6294100      0.9204000E-01
   0.5975500      0.9600000E-01
   0.5652600      0.9921000E-01
   0.5327000      0.1017100    
   0.5000000      0.1034500    
   0.4673000      0.1042900    
   0.4347400      0.1041000    
   0.4024500      0.1032100    
   0.3705900      0.1016000    
   0.3392800      0.9935000E-01
   0.3086600      0.9648000E-01
   0.2788600      0.9304000E-01
   0.2500000      0.8911000E-01
   0.2222100      0.8467000E-01
   0.1956200      0.7982000E-01
   0.1703300      0.7458000E-01
   0.1464500      0.6905000E-01
   0.1240800      0.6315000E-01
   0.1033200      0.5712000E-01
   0.8427000E-01  0.5086000E-01
   0.6699000E-01  0.4458000E-01
   0.5156000E-01  0.3815000E-01
   0.3806000E-01  0.3190000E-01
   0.2653000E-01  0.2555000E-01
   0.1704000E-01  0.1986000E-01
   0.9610000E-02  0.1400000E-01
   0.4280000E-02  0.8890000E-02
   0.1070000E-02  0.4450000E-02
    0.000000       0.000000    
   0.1070000E-02 -0.2520000E-02
   0.4280000E-02 -0.5030000E-02
   0.9610000E-02 -0.7470000E-02
   0.1704000E-01 -0.9510000E-02
   0.2653000E-01 -0.1138000E-01
   0.3806000E-01 -0.1339000E-01
   0.5156000E-01 -0.1494000E-01
   0.6699000E-01 -0.1661000E-01
   0.8427000E-01 -0.1803000E-01
   0.1033200     -0.1939000E-01
   0.1240800     -0.2058000E-01
   0.1464500     -0.2174000E-01
   0.1703300     -0.2271000E-01
   0.1956200     -0.2359000E-01
   0.2222100     -0.2436000E-01
   0.2500000     -0.2500000E-01
   0.2788600     -0.2548000E-01
   0.3086600     -0.2588000E-01
   0.3392800     -0.2612000E-01
   0.3705900     -0.2619000E-01
   0.4024500     -0.2614000E-01
   0.4347400     -0.2590000E-01
   0.4673000     -0.2549000E-01
   0.5000000     -0.2484000E-01
   0.5327000     -0.2393000E-01
   0.5652600     -0.2264000E-01
   0.5975500     -0.2120000E-01
   0.6294100     -0.1956000E-01
   0.6607200     -0.1782000E-01
   0.6913400     -0.1584000E-01
   0.7211400     -0.1374000E-01
   0.7500000     -0.1118000E-01
   0.7777900     -0.7930000E-02
   0.8043800     -0.4520000E-02
   0.8296700     -0.1620000E-02
   0.8535500      0.7300000E-03
   0.8759200      0.2460000E-02
   0.8966800      0.3900000E-02
   0.9157300      0.4290000E-02
   0.9330100      0.4500000E-02
   0.9484400      0.4350000E-02
   0.9619400      0.3890000E-02
   0.9734700      0.3230000E-02
   0.9829600      0.2450000E-02
   0.9903900      0.1650000E-02
   0.9957200      0.9500000E-03
   0.9989300      0.3200000E-03
    1.000000       0.000000    
