  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 23012                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4302   0.00710   0.00207  -0.0110   0.6563   0.0160
  -4.900  -0.4190   0.00707   0.00203  -0.0110   0.6473   0.0162
  -4.800  -0.4079   0.00704   0.00197  -0.0109   0.6387   0.0168
  -4.700  -0.3967   0.00700   0.00192  -0.0109   0.6308   0.0173
  -4.600  -0.3855   0.00698   0.00187  -0.0109   0.6225   0.0177
  -4.500  -0.3742   0.00695   0.00184  -0.0109   0.6146   0.0180
  -4.400  -0.3630   0.00694   0.00180  -0.0108   0.6056   0.0184
  -4.300  -0.3517   0.00692   0.00176  -0.0108   0.5964   0.0187
  -4.200  -0.3404   0.00691   0.00173  -0.0108   0.5868   0.0189
  -4.100  -0.3292   0.00691   0.00170  -0.0108   0.5759   0.0191
  -4.000  -0.3178   0.00690   0.00167  -0.0108   0.5665   0.0193
  -3.900  -0.3066   0.00689   0.00163  -0.0108   0.5562   0.0197
  -3.800  -0.2954   0.00686   0.00159  -0.0108   0.5474   0.0205
  -3.700  -0.2841   0.00685   0.00155  -0.0108   0.5391   0.0212
  -3.600  -0.2728   0.00683   0.00152  -0.0107   0.5313   0.0217
  -3.500  -0.2615   0.00682   0.00150  -0.0107   0.5230   0.0221
  -3.400  -0.2502   0.00681   0.00147  -0.0107   0.5154   0.0225
  -3.300  -0.2388   0.00681   0.00144  -0.0107   0.5067   0.0228
  -3.200  -0.2275   0.00680   0.00142  -0.0108   0.4985   0.0230
  -3.100  -0.2162   0.00679   0.00139  -0.0107   0.4892   0.0237
  -3.000  -0.2049   0.00678   0.00136  -0.0107   0.4795   0.0248
  -2.900  -0.1936   0.00678   0.00133  -0.0107   0.4704   0.0256
  -2.800  -0.1824   0.00678   0.00131  -0.0107   0.4595   0.0262
  -2.700  -0.1710   0.00677   0.00129  -0.0107   0.4513   0.0268
  -2.600  -0.1597   0.00678   0.00127  -0.0107   0.4417   0.0272
  -2.500  -0.1483   0.00677   0.00125  -0.0107   0.4350   0.0280
  -2.400  -0.1370   0.00677   0.00123  -0.0107   0.4258   0.0295
  -2.300  -0.1257   0.00676   0.00121  -0.0107   0.4196   0.0306
  -2.200  -0.1144   0.00676   0.00119  -0.0108   0.4106   0.0314
  -2.100  -0.1029   0.00676   0.00117  -0.0108   0.4043   0.0320
  -2.000  -0.0916   0.00677   0.00116  -0.0108   0.3951   0.0328
  -1.900  -0.0802   0.00676   0.00114  -0.0108   0.3880   0.0347
  -1.800  -0.0690   0.00677   0.00113  -0.0108   0.3779   0.0361
  -1.700  -0.0576   0.00677   0.00111  -0.0108   0.3705   0.0373
  -1.600  -0.0463   0.00679   0.00110  -0.0108   0.3602   0.0380
  -1.500  -0.0350   0.00678   0.00109  -0.0108   0.3531   0.0406
  -1.400  -0.0237   0.00679   0.00108  -0.0108   0.3438   0.0427
  -1.300  -0.0123   0.00679   0.00107  -0.0108   0.3382   0.0442
  -1.200  -0.0010   0.00681   0.00106  -0.0108   0.3300   0.0455
  -1.100   0.0104   0.00679   0.00105  -0.0109   0.3246   0.0488
  -1.000   0.0218   0.00680   0.00104  -0.0109   0.3178   0.0512
  -0.900   0.0331   0.00681   0.00104  -0.0109   0.3108   0.0528
  -0.800   0.0445   0.00680   0.00103  -0.0109   0.3057   0.0573
  -0.700   0.0558   0.00681   0.00103  -0.0109   0.2977   0.0611
  -0.600   0.0672   0.00680   0.00102  -0.0109   0.2926   0.0645
  -0.500   0.0785   0.00680   0.00102  -0.0109   0.2859   0.0704
  -0.400   0.0898   0.00681   0.00101  -0.0109   0.2788   0.0742
  -0.300   0.1011   0.00680   0.00101  -0.0110   0.2740   0.0828
  -0.200   0.1124   0.00680   0.00101  -0.0110   0.2672   0.0918
  -0.100   0.1236   0.00677   0.00100  -0.0110   0.2626   0.1073
   0.000   0.1346   0.00669   0.00099  -0.0109   0.2593   0.1377
   0.100   0.1434   0.00626   0.00092  -0.0106   0.2555   0.2782
   0.300   0.1648   0.00604   0.00089  -0.0105   0.2471   0.3563
   0.400   0.1757   0.00595   0.00089  -0.0105   0.2448   0.3892
   0.500   0.1866   0.00588   0.00088  -0.0105   0.2416   0.4179
   0.600   0.1977   0.00584   0.00089  -0.0105   0.2376   0.4392
   0.700   0.2088   0.00581   0.00089  -0.0105   0.2326   0.4580
   0.800   0.2200   0.00575   0.00089  -0.0105   0.2310   0.4817
   0.900   0.2311   0.00570   0.00089  -0.0104   0.2287   0.5056
   1.000   0.2421   0.00566   0.00090  -0.0104   0.2259   0.5273
   1.100   0.2533   0.00564   0.00091  -0.0104   0.2228   0.5441
   1.200   0.2645   0.00561   0.00092  -0.0104   0.2191   0.5621
   1.300   0.2757   0.00558   0.00092  -0.0104   0.2167   0.5797
   1.400   0.2871   0.00555   0.00093  -0.0105   0.2158   0.5940
   1.500   0.2984   0.00552   0.00094  -0.0105   0.2147   0.6111
   1.600   0.3096   0.00548   0.00095  -0.0105   0.2132   0.6308
   1.700   0.3208   0.00546   0.00096  -0.0105   0.2115   0.6470
   1.800   0.3321   0.00545   0.00098  -0.0105   0.2094   0.6614
   1.900   0.3433   0.00544   0.00099  -0.0105   0.2069   0.6769
   2.000   0.3544   0.00542   0.00101  -0.0105   0.2038   0.6943
   2.100   0.3656   0.00540   0.00102  -0.0105   0.2015   0.7116
   2.200   0.3768   0.00536   0.00103  -0.0105   0.2009   0.7322
   2.300   0.3879   0.00532   0.00105  -0.0104   0.2001   0.7533
