  
       XFOIL         Version 6.97
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3254   0.00620   0.00158  -0.0517   0.7553   0.0419
  -4.900  -0.3140   0.00617   0.00155  -0.0517   0.7492   0.0432
  -4.800  -0.3027   0.00615   0.00151  -0.0517   0.7428   0.0441
  -4.700  -0.2913   0.00613   0.00148  -0.0518   0.7379   0.0453
  -4.600  -0.2800   0.00609   0.00144  -0.0518   0.7313   0.0478
  -4.500  -0.2687   0.00606   0.00140  -0.0518   0.7252   0.0496
  -4.400  -0.2573   0.00603   0.00137  -0.0518   0.7195   0.0511
  -4.300  -0.2460   0.00602   0.00134  -0.0518   0.7126   0.0525
  -4.200  -0.2346   0.00598   0.00131  -0.0518   0.7073   0.0558
  -4.100  -0.2233   0.00595   0.00127  -0.0518   0.7009   0.0581
  -4.000  -0.2120   0.00594   0.00124  -0.0518   0.6937   0.0597
  -3.900  -0.2005   0.00592   0.00122  -0.0519   0.6885   0.0612
  -3.800  -0.1892   0.00589   0.00119  -0.0519   0.6817   0.0649
  -3.700  -0.1779   0.00586   0.00116  -0.0519   0.6757   0.0678
  -3.600  -0.1665   0.00584   0.00113  -0.0519   0.6697   0.0698
  -3.500  -0.1552   0.00583   0.00111  -0.0519   0.6622   0.0734
  -3.400  -0.1438   0.00579   0.00108  -0.0519   0.6569   0.0774
  -3.300  -0.1324   0.00577   0.00105  -0.0520   0.6503   0.0799
  -3.200  -0.1210   0.00577   0.00103  -0.0520   0.6437   0.0818
  -3.100  -0.1097   0.00573   0.00101  -0.0520   0.6380   0.0872
  -3.000  -0.0984   0.00571   0.00099  -0.0520   0.6307   0.0914
