  
       XFOIL         Version 6.97
  
 Calculated polar for: P-51D ROOT (BL17.5) AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.800 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3910   0.00743   0.00212  -0.0365   0.5359   0.0492
  -4.900  -0.3797   0.00739   0.00209  -0.0365   0.5334   0.0504
  -4.800  -0.3684   0.00736   0.00205  -0.0366   0.5310   0.0513
  -4.700  -0.3570   0.00732   0.00202  -0.0367   0.5296   0.0526
  -4.600  -0.3457   0.00727   0.00198  -0.0367   0.5292   0.0544
  -4.500  -0.3344   0.00722   0.00194  -0.0368   0.5287   0.0558
  -4.400  -0.3230   0.00718   0.00191  -0.0368   0.5280   0.0569
  -4.200  -0.3003   0.00709   0.00184  -0.0370   0.5260   0.0611
  -4.100  -0.2890   0.00705   0.00180  -0.0370   0.5248   0.0634
  -4.000  -0.2778   0.00699   0.00176  -0.0371   0.5235   0.0677
  -3.900  -0.2668   0.00693   0.00172  -0.0371   0.5222   0.0737
  -3.800  -0.2560   0.00683   0.00166  -0.0371   0.5210   0.0840
  -3.700  -0.2451   0.00674   0.00161  -0.0371   0.5196   0.0954
  -3.600  -0.2342   0.00666   0.00157  -0.0371   0.5182   0.1054
  -3.500  -0.2232   0.00659   0.00153  -0.0371   0.5166   0.1142
  -3.400  -0.2118   0.00655   0.00150  -0.0372   0.5148   0.1196
  -3.300  -0.2007   0.00649   0.00146  -0.0372   0.5127   0.1265
  -3.200  -0.1892   0.00647   0.00144  -0.0373   0.5105   0.1300
  -3.100  -0.1780   0.00641   0.00141  -0.0373   0.5084   0.1373
  -3.000  -0.1665   0.00637   0.00139  -0.0374   0.5065   0.1420
  -2.900  -0.1552   0.00632   0.00136  -0.0375   0.5060   0.1494
  -2.800  -0.1438   0.00626   0.00133  -0.0376   0.5057   0.1559
  -2.700  -0.1323   0.00622   0.00131  -0.0377   0.5054   0.1636
  -2.600  -0.1210   0.00615   0.00128  -0.0377   0.5049   0.1720
  -2.500  -0.1097   0.00609   0.00125  -0.0378   0.5044   0.1819
  -2.400  -0.0983   0.00603   0.00122  -0.0379   0.5038   0.1906
  -2.300  -0.0872   0.00595   0.00118  -0.0379   0.5031   0.2051
  -2.200  -0.0763   0.00584   0.00114  -0.0379   0.5021   0.2251
  -2.100  -0.0668   0.00557   0.00104  -0.0378   0.5010   0.2793
  -1.900  -0.0449   0.00538   0.00097  -0.0378   0.4979   0.3190
  -1.800  -0.0339   0.00529   0.00094  -0.0379   0.4960   0.3383
  -1.700  -0.0231   0.00519   0.00090  -0.0379   0.4939   0.3601
  -1.600  -0.0123   0.00509   0.00086  -0.0379   0.4916   0.3835
  -1.500  -0.0014   0.00499   0.00083  -0.0379   0.4894   0.4066
  -1.400   0.0096   0.00490   0.00079  -0.0379   0.4873   0.4279
  -1.300   0.0205   0.00479   0.00076  -0.0379   0.4855   0.4523
  -1.200   0.0316   0.00471   0.00075  -0.0380   0.4838   0.4727
  -1.100   0.0428   0.00464   0.00073  -0.0380   0.4832   0.4897
  -1.000   0.0544   0.00460   0.00073  -0.0381   0.4829   0.4996
  -0.900   0.0660   0.00457   0.00072  -0.0382   0.4825   0.5086
  -0.800   0.0779   0.00456   0.00072  -0.0384   0.4821   0.5121
  -0.700   0.0897   0.00455   0.00072  -0.0385   0.4816   0.5167
  -0.600   0.1014   0.00453   0.00072  -0.0386   0.4811   0.5227
  -0.500   0.1132   0.00452   0.00072  -0.0387   0.4806   0.5267
  -0.400   0.1250   0.00451   0.00072  -0.0389   0.4800   0.5293
  -0.300   0.1369   0.00451   0.00072  -0.0390   0.4793   0.5312
  -0.200   0.1488   0.00452   0.00072  -0.0392   0.4785   0.5324
  -0.100   0.1606   0.00453   0.00073  -0.0393   0.4777   0.5332
   0.000   0.1725   0.00453   0.00073  -0.0394   0.4767   0.5355
   0.100   0.1842   0.00453   0.00073  -0.0395   0.4756   0.5392
   0.200   0.1959   0.00452   0.00074  -0.0397   0.4743   0.5428
   0.300   0.2076   0.00453   0.00074  -0.0398   0.4726   0.5460
   0.400   0.2193   0.00454   0.00075  -0.0399   0.4705   0.5484
   0.500   0.2309   0.00455   0.00076  -0.0400   0.4677   0.5501
   0.600   0.2427   0.00457   0.00076  -0.0401   0.4645   0.5513
   0.700   0.2544   0.00458   0.00077  -0.0402   0.4619   0.5521
   0.800   0.2663   0.00459   0.00078  -0.0404   0.4610   0.5528
   0.900   0.2782   0.00460   0.00078  -0.0405   0.4607   0.5534
   1.000   0.2901   0.00460   0.00079  -0.0407   0.4603   0.5539
   1.100   0.3020   0.00461   0.00079  -0.0408   0.4599   0.5542
   1.200   0.3139   0.00461   0.00080  -0.0410   0.4593   0.5554
   1.300   0.3257   0.00461   0.00081  -0.0411   0.4586   0.5576
   1.400   0.3375   0.00461   0.00081  -0.0412   0.4576   0.5600
   1.500   0.3492   0.00462   0.00082  -0.0413   0.4563   0.5626
   1.600   0.3609   0.00462   0.00083  -0.0415   0.4546   0.5652
   1.700   0.3726   0.00463   0.00085  -0.0416   0.4526   0.5677
   1.800   0.3842   0.00465   0.00086  -0.0417   0.4504   0.5699
   1.900   0.3958   0.00467   0.00087  -0.0418   0.4479   0.5716
   2.000   0.4073   0.00469   0.00089  -0.0419   0.4443   0.5728
   2.100   0.4190   0.00472   0.00090  -0.0420   0.4402   0.5736
   2.200   0.4308   0.00473   0.00091  -0.0421   0.4391   0.5741
   2.300   0.4426   0.00474   0.00092  -0.0422   0.4376   0.5746
   2.400   0.4543   0.00476   0.00093  -0.0423   0.4354   0.5749
   2.500   0.4659   0.00479   0.00095  -0.0424   0.4321   0.5752
   2.600   0.4772   0.00483   0.00097  -0.0425   0.4274   0.5754
   2.700   0.4884   0.00488   0.00099  -0.0425   0.4201   0.5756
   2.800   0.5000   0.00491   0.00101  -0.0426   0.4163   0.5758
   2.900   0.5105   0.00501   0.00105  -0.0425   0.4026   0.5759
   3.000   0.5205   0.00515   0.00110  -0.0424   0.3831   0.5763
   3.100   0.5244   0.00572   0.00134  -0.0412   0.3027   0.5773
   3.200   0.5333   0.00594   0.00144  -0.0409   0.2725   0.5785
   3.300   0.5433   0.00607   0.00151  -0.0407   0.2551   0.5799
   3.400   0.5532   0.00620   0.00158  -0.0406   0.2381   0.5815
