#    x        Cp  
   1.00000  0.21476
   0.99286  0.19038
   0.98019  0.14608
   0.96525  0.10063
   0.94859  0.05677
   0.93088  0.01633
   0.91264 -0.02029
   0.89413 -0.05337
   0.87550 -0.08351
   0.85680 -0.11183
   0.83807 -0.13797
   0.81931 -0.16276
   0.80053 -0.18652
   0.78174 -0.20915
   0.76294 -0.23123
   0.74413 -0.25246
   0.72531 -0.27327
   0.70648 -0.29388
   0.68765 -0.31399
   0.66882 -0.33402
   0.64999 -0.35385
   0.63116 -0.37368
   0.61234 -0.39340
   0.59352 -0.41330
   0.57471 -0.43316
   0.55592 -0.45319
   0.53714 -0.47353
   0.51837 -0.49409
   0.49963 -0.51499
   0.48091 -0.53626
   0.46222 -0.55829
   0.44356 -0.58076
   0.42496 -0.60425
   0.40644 -0.63009
   0.38807 -0.65883
   0.36982 -0.68233
   0.35166 -0.70284
   0.33356 -0.72075
   0.31554 -0.73940
   0.29759 -0.78474
   0.27973 -0.80813
   0.26197 -0.82328
   0.24431 -0.84088
   0.22679 -0.85903
   0.20941 -0.87670
   0.19220 -0.89396
   0.17521 -0.91091
   0.15847 -0.92730
   0.14206 -0.94320
   0.12607 -0.95843
   0.11063 -0.97361
   0.09593 -0.98762
   0.08220 -1.00079
   0.06968 -1.01356
   0.05855 -1.02429
   0.04888 -1.03317
   0.04063 -1.03966
   0.03364 -1.04140
   0.02772 -1.03975
   0.02271 -1.03097
   0.01843 -1.01587
   0.01478 -0.98937
   0.01165 -0.95081
   0.00897 -0.89209
   0.00668 -0.81340
   0.00476 -0.70140
   0.00318 -0.55739
   0.00192 -0.36852
   0.00098 -0.14031
   0.00036  0.11417
   0.00005  0.36992
   0.00002  0.60251
   0.00028  0.79516
   0.00087  0.93187
   0.00181  0.99475
   0.00310  0.99010
   0.00474  0.93617
   0.00674  0.85641
   0.00909  0.76432
   0.01183  0.67205
   0.01498  0.58332
   0.01860  0.50130
   0.02278  0.42702
   0.02762  0.35964
   0.03327  0.29834
   0.03989  0.24523
   0.04771  0.19693
   0.05694  0.15472
   0.06774  0.11945
   0.08017  0.09016
   0.09412  0.06689
   0.10935  0.04926
   0.12556  0.03660
   0.14250  0.02746
   0.15997  0.02185
   0.17782  0.01837
   0.19597  0.01669
   0.21435  0.01630
   0.23292  0.01716
   0.25164  0.01849
   0.27049  0.02044
   0.28946  0.02258
   0.30853  0.02497
   0.32768  0.02727
   0.34691  0.02934
   0.36620  0.03100
   0.38551  0.03188
   0.40480  0.03045
   0.42402  0.03020
   0.44324  0.03124
   0.46247  0.03324
   0.48173  0.03543
   0.50103  0.03823
   0.52035  0.04100
   0.53970  0.04407
   0.55907  0.04709
   0.57847  0.05034
   0.59788  0.05354
   0.61732  0.05673
   0.63677  0.06000
   0.65624  0.06320
   0.67572  0.06644
   0.69521  0.06957
   0.71470  0.07260
   0.73421  0.07558
   0.75371  0.07795
   0.77322  0.07899
   0.79273  0.08402
   0.81224  0.10202
   0.83174  0.10720
   0.85122  0.11014
   0.87069  0.11372
   0.89010  0.11892
   0.90939  0.12541
   0.92843  0.13423
   0.94689  0.14544
   0.96423  0.16020
   0.97969  0.17878
   0.99272  0.20775
   1.00000  0.21476
