# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
24

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,XYNKWOOOHR,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,31,17
# x,y,z,u,w
-7.401486830834376525e-17, -7.401486830834376525e-17, -2.500000000000000000e-01, 0.000000000000000000e+00, 0.000000000000000000e+00
-3.700743415417188263e-17, -4.625929269271485174e-17, -2.500000000000000000e-01, 0.000000000000000000e+00, 2.500000000000000000e-01
0.000000000000000000e+00, -7.401486830834376525e-17, -2.500000000000000000e-01, 0.000000000000000000e+00, 5.000000000000000000e-01
0.000000000000000000e+00, -1.619075244245019749e-17, -2.499999999999999445e-01, 0.000000000000000000e+00, 7.500000000000000000e-01
0.000000000000000000e+00, 0.000000000000000000e+00, -2.499999999999999167e-01, 0.000000000000000000e+00, 1.000000000000000000e+00
-6.476300976980078997e-17, 1.387778780781445676e-17, -2.499999999999999445e-01, 0.000000000000000000e+00, 1.250000000000000000e+00
-7.401486830834376525e-17, 0.000000000000000000e+00, -2.500000000000000000e-01, 0.000000000000000000e+00, 1.500000000000000000e+00
-1.850371707708594131e-17, 6.476300976980078997e-17, -2.500000000000000000e-01, 0.000000000000000000e+00, 1.750000000000000000e+00
-7.401486830834376525e-17, 7.401486830834376525e-17, -2.500000000000000000e-01, 0.000000000000000000e+00, 2.000000000000000000e+00
-9.251858538542970657e-18, 3.700743415417188263e-17, -2.500000000000000000e-01, 0.000000000000000000e+00, 2.250000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -2.500000000000000000e-01, 0.000000000000000000e+00, 2.500000000000000000e+00
0.000000000000000000e+00, 2.081668171172168513e-17, -2.500000000000000000e-01, 0.000000000000000000e+00, 2.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -2.500000000000000555e-01, 0.000000000000000000e+00, 3.000000000000000000e+00
-9.251858538542970657e-18, -1.387778780781445676e-17, -2.500000000000000000e-01, 0.000000000000000000e+00, 3.250000000000000000e+00
-7.401486830834376525e-17, 0.000000000000000000e+00, -2.500000000000000555e-01, 0.000000000000000000e+00, 3.500000000000000000e+00
-7.401486830834376525e-17, -3.700743415417188263e-17, -2.500000000000000000e-01, 0.000000000000000000e+00, 3.750000000000000000e+00
-7.401486830834376525e-17, -7.401486830834376525e-17, -2.500000000000000000e-01, 0.000000000000000000e+00, 4.000000000000000000e+00
4.558023109952505925e-01, 3.370727578721822715e-01, -2.500000000000000000e-01, 2.000000000000000111e-01, 0.000000000000000000e+00
4.558023109952507035e-01, 3.089360833991570132e-01, -3.764122017837185918e-01, 2.000000000000000111e-01, 2.500000000000000000e-01
4.558023109952507035e-01, 2.340028132989931953e-01, -4.840028132989931953e-01, 2.000000000000000111e-01, 5.000000000000000000e-01
4.558023109952507035e-01, 1.264122017837185641e-01, -5.589360833991570132e-01, 2.000000000000000111e-01, 7.500000000000000000e-01
4.558023109952506480e-01, -2.131628207280301218e-17, -5.870727578721821605e-01, 2.000000000000000111e-01, 1.000000000000000000e+00
4.558023109952505925e-01, -1.264122017837186196e-01, -5.589360833991570132e-01, 2.000000000000000111e-01, 1.250000000000000000e+00
4.558023109952507035e-01, -2.340028132989933063e-01, -4.840028132989931953e-01, 2.000000000000000111e-01, 1.500000000000000000e+00
4.558023109952508145e-01, -3.089360833991570132e-01, -3.764122017837185918e-01, 2.000000000000000111e-01, 1.750000000000000000e+00
4.558023109952507035e-01, -3.370727578721822715e-01, -2.500000000000000000e-01, 2.000000000000000111e-01, 2.000000000000000000e+00
4.558023109952508145e-01, -3.089360833991570132e-01, -1.235877982162815053e-01, 2.000000000000000111e-01, 2.250000000000000000e+00
4.558023109952508145e-01, -2.340028132989932508e-01, -1.599718670100684637e-02, 2.000000000000000111e-01, 2.500000000000000000e+00
4.558023109952508145e-01, -1.264122017837185918e-01, 5.893608339915695077e-02, 2.000000000000000111e-01, 2.750000000000000000e+00
4.558023109952507035e-01, -3.301983885679413708e-17, 8.707275787218222984e-02, 2.000000000000000111e-01, 3.000000000000000000e+00
4.558023109952507035e-01, 1.264122017837185363e-01, 5.893608339915701322e-02, 2.000000000000000111e-01, 3.250000000000000000e+00
4.558023109952507035e-01, 2.340028132989931953e-01, -1.599718670100684637e-02, 2.000000000000000111e-01, 3.500000000000000000e+00
4.558023109952505925e-01, 3.089360833991570132e-01, -1.235877982162814359e-01, 2.000000000000000111e-01, 3.750000000000000000e+00
4.558023109952505925e-01, 3.370727578721822715e-01, -2.500000000000000000e-01, 2.000000000000000111e-01, 4.000000000000000000e+00
1.073749465991621577e+00, 6.475608066224163295e-01, -2.500000000000000000e-01, 4.000000000000000222e-01, 0.000000000000000000e+00
1.073749465991621577e+00, 5.947676242891187792e-01, -4.968012117371585212e-01, 4.000000000000000222e-01, 2.500000000000000000e-01
1.073749465991621577e+00, 4.529673380477683420e-01, -7.029673380477682310e-01, 4.000000000000000222e-01, 5.000000000000000000e-01
1.073749465991621577e+00, 2.468012117371584935e-01, -8.447676242891186682e-01, 4.000000000000000222e-01, 7.500000000000000000e-01
1.073749465991621577e+00, -1.065814103640149839e-17, -8.975608066224164405e-01, 4.000000000000000222e-01, 1.000000000000000000e+00
1.073749465991621577e+00, -2.468012117371585212e-01, -8.447676242891185572e-01, 4.000000000000000222e-01, 1.250000000000000000e+00
1.073749465991621577e+00, -4.529673380477684530e-01, -7.029673380477682310e-01, 4.000000000000000222e-01, 1.500000000000000000e+00
1.073749465991621577e+00, -5.947676242891187792e-01, -4.968012117371585212e-01, 4.000000000000000222e-01, 1.750000000000000000e+00
1.073749465991621577e+00, -6.475608066224163295e-01, -2.500000000000000000e-01, 4.000000000000000222e-01, 2.000000000000000000e+00
1.073749465991621577e+00, -5.947676242891187792e-01, -3.198788262841555097e-03, 4.000000000000000222e-01, 2.250000000000000000e+00
1.073749465991621577e+00, -4.529673380477683975e-01, 2.029673380477683420e-01, 4.000000000000000222e-01, 2.500000000000000000e+00
1.073749465991621577e+00, -2.468012117371585212e-01, 3.447676242891187792e-01, 4.000000000000000222e-01, 2.750000000000000000e+00
1.073749465991621577e+00, -2.911546601899753020e-17, 3.975608066224164405e-01, 4.000000000000000222e-01, 3.000000000000000000e+00
1.073749465991621577e+00, 2.468012117371584657e-01, 3.447676242891187792e-01, 4.000000000000000222e-01, 3.250000000000000000e+00
1.073749465991621577e+00, 4.529673380477683420e-01, 2.029673380477683420e-01, 4.000000000000000222e-01, 3.500000000000000000e+00
1.073749465991621577e+00, 5.947676242891187792e-01, -3.198788262841513463e-03, 4.000000000000000222e-01, 3.750000000000000000e+00
1.073749465991621577e+00, 6.475608066224163295e-01, -2.500000000000000000e-01, 4.000000000000000222e-01, 4.000000000000000000e+00
1.763795465490366920e+00, 9.145124764365594183e-01, -2.500000000000000000e-01, 5.999999999999999778e-01, 0.000000000000000000e+00
1.763795465490367365e+00, 8.413015047694272219e-01, -6.026202646685141495e-01, 5.999999999999999778e-01, 2.500000000000000000e-01
1.763795465490367365e+00, 6.433014729201801396e-01, -8.933014729201802506e-01, 5.999999999999999778e-01, 5.000000000000000000e-01
1.763795465490367365e+00, 3.526202646685140385e-01, -1.091301504769427000e+00, 5.999999999999999778e-01, 7.500000000000000000e-01
1.763795465490366920e+00, 1.065814103640149839e-17, -1.164512476436559307e+00, 5.999999999999999778e-01, 1.000000000000000000e+00
1.763795465490366476e+00, -3.526202646685140940e-01, -1.091301504769427000e+00, 5.999999999999999778e-01, 1.250000000000000000e+00
1.763795465490367365e+00, -6.433014729201802506e-01, -8.933014729201802506e-01, 5.999999999999999778e-01, 1.500000000000000000e+00
1.763795465490367587e+00, -8.413015047694272219e-01, -6.026202646685141495e-01, 5.999999999999999778e-01, 1.750000000000000000e+00
1.763795465490366920e+00, -9.145124764365594183e-01, -2.500000000000000000e-01, 5.999999999999999778e-01, 2.000000000000000000e+00
1.763795465490367587e+00, -8.413015047694272219e-01, 1.026202646685140385e-01, 5.999999999999999778e-01, 2.250000000000000000e+00
1.763795465490367587e+00, -6.433014729201802506e-01, 3.933014729201801396e-01, 5.999999999999999778e-01, 2.500000000000000000e+00
1.763795465490367587e+00, -3.526202646685140385e-01, 5.913015047694268889e-01, 5.999999999999999778e-01, 2.750000000000000000e+00
1.763795465490366920e+00, -8.701173752803860945e-18, 6.645124764365596404e-01, 5.999999999999999778e-01, 3.000000000000000000e+00
1.763795465490366920e+00, 3.526202646685140385e-01, 5.913015047694269999e-01, 5.999999999999999778e-01, 3.250000000000000000e+00
1.763795465490366920e+00, 6.433014729201802506e-01, 3.933014729201801396e-01, 5.999999999999999778e-01, 3.500000000000000000e+00
1.763795465490366920e+00, 8.413015047694269999e-01, 1.026202646685140663e-01, 5.999999999999999778e-01, 3.750000000000000000e+00
1.763795465490366920e+00, 9.145124764365594183e-01, -2.500000000000000000e-01, 5.999999999999999778e-01, 4.000000000000000000e+00
2.435894309992741924e+00, 1.120976097500468338e+00, -2.500000000000000000e-01, 8.000000000000000444e-01, 0.000000000000000000e+00
2.435894309992742368e+00, 1.032344606939623599e+00, -6.853225953859796160e-01, 8.000000000000000444e-01, 2.500000000000000000e-01
2.435894309992742368e+00, 7.914131165900835096e-01, -1.041413116590083510e+00, 8.000000000000000444e-01, 5.000000000000000000e-01
2.435894309992742368e+00, 4.353225953859797270e-01, -1.282344606939623599e+00, 8.000000000000000444e-01, 7.500000000000000000e-01
2.435894309992741924e+00, 2.131628207280300602e-17, -1.370976097500468560e+00, 8.000000000000000444e-01, 1.000000000000000000e+00
2.435894309992741924e+00, -4.353225953859797270e-01, -1.282344606939623377e+00, 8.000000000000000444e-01, 1.250000000000000000e+00
2.435894309992742368e+00, -7.914131165900835096e-01, -1.041413116590083510e+00, 8.000000000000000444e-01, 1.500000000000000000e+00
2.435894309992742368e+00, -1.032344606939623599e+00, -6.853225953859796160e-01, 8.000000000000000444e-01, 1.750000000000000000e+00
2.435894309992741924e+00, -1.120976097500468338e+00, -2.500000000000000000e-01, 8.000000000000000444e-01, 2.000000000000000000e+00
2.435894309992742368e+00, -1.032344606939623599e+00, 1.853225953859796715e-01, 8.000000000000000444e-01, 2.250000000000000000e+00
2.435894309992742368e+00, -7.914131165900835096e-01, 5.414131165900835096e-01, 8.000000000000000444e-01, 2.500000000000000000e+00
2.435894309992742368e+00, -4.353225953859796160e-01, 7.823446069396235991e-01, 8.000000000000000444e-01, 2.750000000000000000e+00
2.435894309992741924e+00, 7.808745675593210674e-18, 8.709760975004686712e-01, 8.000000000000000444e-01, 3.000000000000000000e+00
2.435894309992741924e+00, 4.353225953859796715e-01, 7.823446069396235991e-01, 8.000000000000000444e-01, 3.250000000000000000e+00
2.435894309992741924e+00, 7.914131165900835096e-01, 5.414131165900835096e-01, 8.000000000000000444e-01, 3.500000000000000000e+00
2.435894309992741924e+00, 1.032344606939623599e+00, 1.853225953859796993e-01, 8.000000000000000444e-01, 3.750000000000000000e+00
2.435894309992741924e+00, 1.120976097500468338e+00, -2.500000000000000000e-01, 8.000000000000000444e-01, 4.000000000000000000e+00
3.000000000000000000e+00, 1.250000000000000000e+00, -2.500000000000000000e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
3.000000000000000000e+00, 1.151703812899250057e+00, -7.363614386977497261e-01, 1.000000000000000000e+00, 2.500000000000000000e-01
3.000000000000000000e+00, 8.837101677313331516e-01, -1.133710167731333263e+00, 1.000000000000000000e+00, 5.000000000000000000e-01
3.000000000000000000e+00, 4.863614386977496706e-01, -1.401703812899250057e+00, 1.000000000000000000e+00, 7.500000000000000000e-01
3.000000000000000000e+00, 0.000000000000000000e+00, -1.500000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
3.000000000000000000e+00, -4.863614386977496706e-01, -1.401703812899250057e+00, 1.000000000000000000e+00, 1.250000000000000000e+00
3.000000000000000444e+00, -8.837101677313331516e-01, -1.133710167731333041e+00, 1.000000000000000000e+00, 1.500000000000000000e+00
3.000000000000000000e+00, -1.151703812899250057e+00, -7.363614386977497261e-01, 1.000000000000000000e+00, 1.750000000000000000e+00
3.000000000000000000e+00, -1.250000000000000000e+00, -2.500000000000000555e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
3.000000000000000000e+00, -1.151703812899250057e+00, 2.363614386977496706e-01, 1.000000000000000000e+00, 2.250000000000000000e+00
3.000000000000000000e+00, -8.837101677313330406e-01, 6.337101677313330406e-01, 1.000000000000000000e+00, 2.500000000000000000e+00
3.000000000000000000e+00, -4.863614386977496706e-01, 9.017038128992498347e-01, 1.000000000000000000e+00, 2.750000000000000000e+00
3.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 1.000000000000000000e+00, 3.000000000000000000e+00
3.000000000000000000e+00, 4.863614386977496706e-01, 9.017038128992498347e-01, 1.000000000000000000e+00, 3.250000000000000000e+00
3.000000000000000444e+00, 8.837101677313330406e-01, 6.337101677313330406e-01, 1.000000000000000000e+00, 3.500000000000000000e+00
3.000000000000000000e+00, 1.151703812899250057e+00, 2.363614386977496984e-01, 1.000000000000000000e+00, 3.750000000000000000e+00
3.000000000000000000e+00, 1.250000000000000000e+00, -2.500000000000000000e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
3.639754124747222264e+00, 1.374237641909442864e+00, -1.980000000000000371e-01, 1.199999999999999956e+00, 0.000000000000000000e+00
3.639754124747222264e+00, 1.266313008968413367e+00, -7.523921608626836788e-01, 1.199999999999999956e+00, 2.500000000000000000e-01
3.639754124747222264e+00, 9.716490367383671112e-01, -1.196884036738367074e+00, 1.199999999999999956e+00, 5.000000000000000000e-01
3.639754124747222264e+00, 5.343152858626836199e-01, -1.491588633968413458e+00, 1.199999999999999956e+00, 7.500000000000000000e-01
3.639754124747222264e+00, -1.421085471520200093e-17, -1.598237641909443063e+00, 1.199999999999999956e+00, 1.000000000000000000e+00
3.639754124747222264e+00, -5.343152858626836199e-01, -1.491588633968413458e+00, 1.199999999999999956e+00, 1.250000000000000000e+00
3.639754124747222264e+00, -9.716490367383671112e-01, -1.196884036738367074e+00, 1.199999999999999956e+00, 1.500000000000000000e+00
3.639754124747222264e+00, -1.266313008968413367e+00, -7.523921608626836788e-01, 1.199999999999999956e+00, 1.750000000000000000e+00
3.639754124747222264e+00, -1.374237641909442864e+00, -1.980000000000000648e-01, 1.199999999999999956e+00, 2.000000000000000000e+00
3.639754124747222264e+00, -1.277744883968413347e+00, 3.563921608626836601e-01, 1.199999999999999956e+00, 2.250000000000000000e+00
3.639754124747222264e+00, -1.002134036738367096e+00, 8.008840367383670555e-01, 1.199999999999999956e+00, 2.500000000000000000e+00
3.639754124747222264e+00, -5.686109108626835607e-01, 1.095588633968413328e+00, 1.199999999999999956e+00, 2.750000000000000000e+00
3.639754124747222264e+00, 0.000000000000000000e+00, 1.202237641909442933e+00, 1.199999999999999956e+00, 3.000000000000000000e+00
3.639754124747222264e+00, 5.686109108626835607e-01, 1.095588633968413328e+00, 1.199999999999999956e+00, 3.250000000000000000e+00
3.639754124747222264e+00, 1.002134036738367096e+00, 8.008840367383670555e-01, 1.199999999999999956e+00, 3.500000000000000000e+00
3.639754124747222264e+00, 1.277744883968413347e+00, 3.563921608626836601e-01, 1.199999999999999956e+00, 3.750000000000000000e+00
3.639754124747222264e+00, 1.374237641909442864e+00, -1.980000000000000371e-01, 1.199999999999999956e+00, 4.000000000000000000e+00
4.281112326892143827e+00, 1.507267347148123271e+00, -7.400000000000006573e-02, 1.399999999999999911e+00, 0.000000000000000000e+00
4.281112326892143827e+00, 1.388981340570735190e+00, -7.282260630393291301e-01, 1.399999999999999911e+00, 2.500000000000000000e-01
4.281112326892143827e+00, 1.065928880947383028e+00, -1.232108880947383245e+00, 1.399999999999999911e+00, 5.000000000000000000e-01
4.281112326892143827e+00, 5.862735630393292041e-01, -1.555298840570734864e+00, 1.399999999999999911e+00, 7.500000000000000000e-01
4.281112326892143827e+00, -1.598721155460225606e-17, -1.669267347148123193e+00, 1.399999999999999911e+00, 1.000000000000000000e+00
4.281112326892143827e+00, -5.862735630393292041e-01, -1.555298840570734864e+00, 1.399999999999999911e+00, 1.250000000000000000e+00
