Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Fuselage,196.961341,96.855112,148.046369,148.046369
Main_Wing,81.689461,33.799905,5.111476,5.111476
Wing_Prop_Mount_1,3.206034,2.718601,0.306072,0.306072
Wing_Prop_Mount_1,3.206034,0.000000,0.306072,0.000000
Wing_Prop_1,4.783686,4.783686,-17.699640,-110414073352687.140625
Wing_Prop_1,4.783686,0.000000,-17.699640,-17.699640
Wing_Prop_Mount_2,2.628603,2.430203,0.249392,0.249392
Wing_Prop_Mount_2,2.628603,0.000000,0.249392,0.000000
Wing_Prop_2,4.783686,4.783686,-19.134746,-119366565786688.281250
Wing_Prop_2,4.783686,0.000000,-19.134746,-19.134746
Wing_Prop_Mount_3,1.940958,1.919749,0.181376,0.181376
Wing_Prop_Mount_3,1.940958,0.000000,0.181376,0.000000
Wing_Prop_3,4.783686,4.783686,-20.250939,-126329615457580.406250
Wing_Prop_3,4.783686,0.000000,-20.250939,-20.250939
Canard,61.648725,28.379001,3.263187,3.263187
Canard_Prop_Mount,2.398568,2.224462,0.226720,0.226720
Canard_Prop_Mount,2.398568,0.000000,0.226720,0.000000
Canard_Prop,4.783686,4.783686,-4.703958,-29344280755894.347656
Canard_Prop,4.783686,0.000000,-4.703958,-4.703958
Horizontal_Tail,30.645138,14.574230,1.319881,1.319881
Vertical_Tail,10.366859,4.637120,0.392901,0.392901
Totals,439.929341,206.673129,36.482367,17.482907

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Fuselage_Surf0,196.961341,96.855112
Main_Wing_Surf0,40.844730,33.799905
Main_Wing_Surf1,40.844730,0.000000
Wing_Prop_Mount_1_Surf0,3.206034,2.718601
Wing_Prop_Mount_1_Surf1,3.206034,0.000000
Wing_Prop_1_Surf0,4.783686,4.783686
Wing_Prop_1_Surf1,4.783686,0.000000
Wing_Prop_Mount_2_Surf0,2.628603,2.430203
Wing_Prop_Mount_2_Surf1,2.628603,0.000000
Wing_Prop_2_Surf0,4.783686,4.783686
Wing_Prop_2_Surf1,4.783686,0.000000
Wing_Prop_Mount_3_Surf0,1.940958,1.919749
Wing_Prop_Mount_3_Surf1,1.940958,0.000000
Wing_Prop_3_Surf0,4.783686,4.783686
Wing_Prop_3_Surf1,4.783686,0.000000
Canard_Surf0,30.824362,28.379001
Canard_Surf1,30.824362,0.000000
Canard_Prop_Mount_Surf0,2.398568,2.224462
Canard_Prop_Mount_Surf1,2.398568,0.000000
Canard_Prop_Surf0,4.783686,4.783686
Canard_Prop_Surf1,4.783686,0.000000
Horizontal_Tail_Surf0,15.322569,14.574230
Horizontal_Tail_Surf1,15.322569,0.000000
Vertical_Tail_Surf0,10.366859,4.637120
_Surf0,0.000000,0.000000
