alpha ,   Beta ,    Velocity , Cx ,     Cy ,      Cz ,       CL ,      CDi ,      CDo ,     CMx ,     CMy ,     CMz
-6.0000  ,+0.0000  ,+62.0000  ,+1.7308  ,+0.0000  ,-0.7797  ,-0.5945  ,+1.7898  ,+0.0131  ,+0.0000  ,+1.6851  ,+0.0000 
-3.0000  ,+0.0000  ,+62.0000  ,+1.8468  ,+0.0000  ,-0.3745  ,-0.2773  ,+1.8527  ,+0.0112  ,+0.0000  ,+0.7706  ,+0.0000 
+0.0000  ,+0.0000  ,+62.0000  ,+1.9197  ,+0.0000  ,+0.0293  ,+0.0293  ,+1.9086  ,+0.0110  ,+0.0000  ,-0.1338  ,+0.0000 
+3.0000  ,+0.0000  ,+62.0000  ,+1.9469  ,+0.0000  ,+0.4418  ,+0.3393  ,+1.9558  ,+0.0116  ,+0.0000  ,-1.0488  ,+0.0000 
+6.0000  ,+0.0000  ,+62.0000  ,+1.9135  ,+0.0000  ,+0.8302  ,+0.6256  ,+1.9777  ,+0.0120  ,+0.0000  ,-1.9819  ,+0.0000 
+9.0000  ,+0.0000  ,+62.0000  ,+1.8395  ,+0.0000  ,+1.2436  ,+0.9405  ,+1.9976  ,+0.0138  ,+0.0000  ,-2.9391  ,+0.0000 
+12.0000  ,+0.0000  ,+62.0000  ,+1.7162  ,+0.0000  ,+1.6291  ,+1.2367  ,+2.0007  ,+0.0167  ,+0.0000  ,-3.8908  ,+0.0000 
+15.0000  ,+0.0000  ,+62.0000  ,+1.6654  ,+0.0000  ,+2.0492  ,+1.5484  ,+2.1201  ,+0.0189  ,+0.0000  ,-4.8847  ,+0.0000 
+18.0000  ,+0.0000  ,+62.0000  ,+1.4490  ,+0.0000  ,+2.4183  ,+1.8522  ,+2.1036  ,+0.0218  ,+0.0000  ,-5.8681  ,+0.0000 
+21.0000  ,+0.0000  ,+62.0000  ,+1.2252  ,+0.0000  ,+2.7803  ,+2.1566  ,+2.1146  ,+0.0256  ,+0.0000  ,-6.8149  ,+0.0000 
