#    x        Cp  
   1.00000  0.21775
   0.99286  0.19003
   0.98019  0.14159
   0.96525  0.09659
   0.94859  0.05567
   0.93088  0.01943
   0.91264 -0.01259
   0.89413 -0.04101
   0.87550 -0.06655
   0.85680 -0.09042
   0.83807 -0.11209
   0.81931 -0.13258
   0.80053 -0.15201
   0.78174 -0.17033
   0.76294 -0.18806
   0.74413 -0.20494
   0.72531 -0.22133
   0.70648 -0.23748
   0.68765 -0.25294
   0.66882 -0.26835
   0.64999 -0.28327
   0.63116 -0.29809
   0.61234 -0.31250
   0.59352 -0.32684
   0.57471 -0.34075
   0.55592 -0.35418
   0.53714 -0.36696
   0.51837 -0.37853
   0.49963 -0.38917
   0.48091 -0.40196
   0.46222 -0.44761
   0.44356 -0.46088
   0.42496 -0.47374
   0.40644 -0.48980
   0.38807 -0.50825
   0.36982 -0.52400
   0.35166 -0.53818
   0.33356 -0.55111
   0.31554 -0.56274
   0.29759 -0.57293
   0.27973 -0.58211
   0.26197 -0.58972
   0.24431 -0.59583
   0.22679 -0.60056
   0.20941 -0.60304
   0.19220 -0.60431
   0.17521 -0.60278
   0.15847 -0.59894
   0.14206 -0.59266
   0.12607 -0.58314
   0.11063 -0.56971
   0.09593 -0.55291
   0.08220 -0.53069
   0.06968 -0.50459
   0.05855 -0.47295
   0.04888 -0.43737
   0.04063 -0.39612
   0.03364 -0.34932
   0.02772 -0.29798
   0.02271 -0.23899
   0.01843 -0.17227
   0.01478 -0.09714
   0.01165 -0.00951
   0.00897  0.09053
   0.00668  0.20361
   0.00476  0.33367
   0.00318  0.47720
   0.00192  0.62551
   0.00098  0.77097
   0.00036  0.89466
   0.00005  0.97394
   0.00002  0.99984
   0.00028  0.96428
   0.00087  0.86501
   0.00181  0.71789
   0.00310  0.54954
   0.00474  0.38424
   0.00674  0.23980
   0.00909  0.11649
   0.01183  0.01617
   0.01498 -0.06330
   0.01860 -0.12571
   0.02278 -0.17386
   0.02762 -0.21176
   0.03327 -0.23924
   0.03989 -0.25902
   0.04771 -0.27249
   0.05694 -0.27852
   0.06774 -0.28044
   0.08017 -0.27709
   0.09412 -0.27006
   0.10935 -0.26066
   0.12556 -0.24906
   0.14250 -0.23661
   0.15997 -0.22363
   0.17782 -0.21034
   0.19597 -0.19716
   0.21435 -0.18421
   0.23292 -0.17177
   0.25164 -0.15964
   0.27049 -0.14807
   0.28946 -0.13731
   0.30853 -0.12731
   0.32768 -0.11909
   0.34691 -0.11438
   0.36620 -0.09122
   0.38551 -0.08050
   0.40480 -0.08022
   0.42402 -0.07823
   0.44324 -0.07369
   0.46247 -0.06787
   0.48173 -0.06173
   0.50103 -0.05484
   0.52035 -0.04814
   0.53970 -0.04124
   0.55907 -0.03446
   0.57847 -0.02747
   0.59788 -0.02072
   0.61732 -0.01399
   0.63677 -0.00726
   0.65624 -0.00062
   0.67572  0.00600
   0.69521  0.01259
   0.71470  0.01911
   0.73421  0.02589
   0.75371  0.03255
   0.77322  0.03940
   0.79273  0.04664
   0.81224  0.05406
   0.83174  0.06188
   0.85122  0.07041
   0.87069  0.07960
   0.89010  0.09001
   0.90939  0.10155
   0.92843  0.11547
   0.94689  0.13183
   0.96423  0.15185
   0.97969  0.17549
   0.99272  0.20537
   1.00000  0.21775
