#    x        Cp  
   1.00000 -0.11720
   0.97779 -0.12366
   0.95048 -0.13174
   0.91312 -0.14357
   0.86653 -0.15962
   0.81174 -0.18070
   0.75000 -0.20853
   0.68267 -0.24441
   0.61126 -0.28451
   0.53737 -0.31436
   0.46264 -0.31828
   0.38874 -0.30740
   0.31733 -0.29860
   0.25000 -0.28021
   0.18825 -0.25553
   0.13347 -0.22103
   0.08688 -0.16509
   0.04952 -0.04954
   0.02221  0.02674
   0.00558  0.60827
   0.00000  0.90595
   0.00558  0.14552
   0.02221 -0.27916
   0.04952 -0.25835
   0.08688 -0.26534
   0.13347 -0.26839
   0.18825 -0.27025
   0.25000 -0.26771
   0.31733 -0.26823
   0.38874 -0.26435
   0.46264 -0.26503
   0.53737 -0.26456
   0.61126 -0.24913
   0.68267 -0.21961
   0.75000 -0.19125
   0.81174 -0.16792
   0.86653 -0.14993
   0.91312 -0.13708
   0.95048 -0.12842
   0.97779 -0.12267
   1.00000 -0.11720
